time,temperature_2m,relativehumidity_2m,precipitation
2023-01-04 03:00:00,13.0,91,0.0
2023-01-04 04:00:00,13.1,90,0.0
2023-01-04 05:00:00,13.3,93,0.0
2023-01-04 06:00:00,12.9,95,0.0
2023-01-04 07:00:00,13.2,93,0.1
2023-01-04 08:00:00,13.3,93,0.0
2023-01-04 09:00:00,13.3,89,0.8
2023-01-04 10:00:00,13.7,90,2.0
2023-01-04 11:00:00,14.2,91,0.5
2023-01-04 12:00:00,14.7,89,0.2
2023-01-04 13:00:00,14.7,90,1.6
2023-01-04 14:00:00,14.4,97,2.8
2023-01-04 15:00:00,15.2,94,0.8
2023-01-04 16:00:00,14.9,96,0.1
2023-01-04 17:00:00,15.3,90,0.1
2023-01-04 18:00:00,14.1,97,3.5
2023-01-04 19:00:00,13.7,98,0.7
2023-01-04 20:00:00,13.6,99,0.7
2023-01-04 21:00:00,13.8,96,1.3
2023-01-04 22:00:00,13.6,97,0.3
2023-01-04 23:00:00,13.6,95,0.2
2023-01-05 00:00:00,13.5,89,0.1
2023-01-05 01:00:00,13.0,90,0.0
2023-01-05 02:00:00,12.7,90,0.6
2023-01-05 03:00:00,12.1,95,2.7
2023-01-05 04:00:00,12.0,95,3.0
2023-01-05 05:00:00,12.3,94,3.8
2023-01-05 06:00:00,12.2,95,1.2
2023-01-05 07:00:00,12.1,94,2.0
2023-01-05 08:00:00,12.2,93,3.7
2023-01-05 09:00:00,12.0,96,4.0
2023-01-05 10:00:00,12.1,97,3.9
2023-01-05 11:00:00,13.2,92,1.4
2023-01-05 12:00:00,14.3,85,0.0
2023-01-05 13:00:00,15.4,79,0.1
2023-01-05 14:00:00,13.8,83,1.9
2023-01-05 15:00:00,14.6,81,0.1
2023-01-05 16:00:00,13.9,81,0.0
2023-01-05 17:00:00,13.5,82,0.0
2023-01-05 18:00:00,11.5,92,0.8
2023-01-05 19:00:00,10.6,95,0.8
2023-01-05 20:00:00,11.1,94,0.2
2023-01-05 21:00:00,8.6,97,0.0
2023-01-05 22:00:00,7.6,98,0.0
2023-01-05 23:00:00,8.1,94,0.0
2023-01-06 00:00:00,7.9,93,0.0
2023-01-06 01:00:00,7.2,92,0.0
2023-01-06 02:00:00,6.7,93,0.0
2023-01-06 03:00:00,6.0,94,0.0
2023-01-06 04:00:00,5.3,93,0.0
2023-01-06 05:00:00,6.8,96,0.0
2023-01-06 06:00:00,6.7,93,0.0
2023-01-06 07:00:00,5.6,97,0.0
2023-01-06 08:00:00,5.6,93,0.0
2023-01-06 09:00:00,7.2,87,0.0
2023-01-06 10:00:00,9.5,84,0.0
2023-01-06 11:00:00,11.4,77,0.0
2023-01-06 12:00:00,12.9,72,0.0
2023-01-06 13:00:00,13.9,67,0.0
2023-01-06 14:00:00,14.6,63,0.0
2023-01-06 15:00:00,15.2,62,0.0
2023-01-06 16:00:00,15.4,64,0.0
2023-01-06 17:00:00,14.4,63,0.0
2023-01-06 18:00:00,11.6,83,0.0
2023-01-06 19:00:00,11.2,81,0.0
2023-01-06 20:00:00,10.0,84,0.0
2023-01-06 21:00:00,9.8,82,0.0
2023-01-06 22:00:00,8.5,82,0.0
2023-01-06 23:00:00,8.5,73,0.0
2023-01-07 00:00:00,7.9,75,0.0
2023-01-07 01:00:00,6.9,78,0.0
2023-01-07 02:00:00,6.9,78,0.0
2023-01-07 03:00:00,6.2,79,0.0
2023-01-07 04:00:00,9.3,56,0.0
2023-01-07 05:00:00,8.8,58,0.0
2023-01-07 06:00:00,9.2,53,0.0
2023-01-07 07:00:00,9.6,49,0.0
2023-01-07 08:00:00,10.2,47,0.0
2023-01-07 09:00:00,10.4,58,0.0
2023-01-07 10:00:00,13.0,45,0.0
2023-01-07 11:00:00,15.0,42,0.0
2023-01-07 12:00:00,15.9,44,0.0
2023-01-07 13:00:00,17.4,45,0.0
2023-01-07 14:00:00,17.8,47,0.0
2023-01-07 15:00:00,18.1,48,0.0
2023-01-07 16:00:00,16.7,57,0.0
2023-01-07 17:00:00,16.6,66,0.0
2023-01-07 18:00:00,13.3,80,0.0
2023-01-07 19:00:00,13.2,77,0.0
2023-01-07 20:00:00,13.4,73,0.0
2023-01-07 21:00:00,11.3,83,0.0
2023-01-07 22:00:00,10.4,80,0.0
2023-01-07 23:00:00,12.8,51,0.0
