time,temperature_2m,relativehumidity_2m,precipitation
2023-01-03 01:00:00,8.2,96,0.0
2023-01-03 02:00:00,8.0,98,0.0
2023-01-03 03:00:00,8.0,97,0.0
2023-01-03 04:00:00,8.0,94,0.0
2023-01-03 05:00:00,7.9,93,0.0
2023-01-03 06:00:00,8.0,94,0.0
2023-01-03 07:00:00,7.4,97,0.0
2023-01-03 08:00:00,6.2,99,0.0
2023-01-03 09:00:00,7.8,98,0.0
2023-01-03 10:00:00,8.4,96,1.0
2023-01-03 11:00:00,9.2,97,0.2
2023-01-03 12:00:00,8.8,97,3.1
2023-01-03 13:00:00,8.7,98,2.6
2023-01-03 14:00:00,9.2,97,1.0
2023-01-03 15:00:00,10.1,97,1.1
2023-01-03 16:00:00,11.7,97,0.2
2023-01-03 17:00:00,12.5,97,0.0
2023-01-03 18:00:00,12.7,97,0.0
2023-01-03 19:00:00,12.7,97,0.0
2023-01-03 20:00:00,9.9,100,0.0
2023-01-03 21:00:00,11.2,99,0.2
2023-01-03 22:00:00,11.5,98,0.0
2023-01-03 23:00:00,11.6,97,0.0
2023-01-04 00:00:00,11.7,96,0.0
2023-01-04 01:00:00,11.7,97,0.0
2023-01-04 02:00:00,12.1,96,0.1
2023-01-04 03:00:00,12.2,95,0.0
2023-01-04 04:00:00,12.8,93,0.0
2023-01-04 05:00:00,12.1,96,0.0
2023-01-04 06:00:00,12.2,97,0.0
2023-01-04 07:00:00,12.4,97,0.0
2023-01-04 08:00:00,10.0,99,0.0
2023-01-04 09:00:00,11.7,98,0.0
2023-01-04 10:00:00,13.3,94,0.0
2023-01-04 11:00:00,14.8,92,0.0
2023-01-04 12:00:00,16.1,87,0.0
2023-01-04 13:00:00,17.2,82,0.0
2023-01-04 14:00:00,17.9,79,0.0
2023-01-04 15:00:00,17.1,82,0.0
2023-01-04 16:00:00,15.5,89,0.0
2023-01-04 17:00:00,13.9,95,0.0
2023-01-04 18:00:00,12.4,99,0.3
2023-01-04 19:00:00,11.6,100,0.7
2023-01-04 20:00:00,9.4,99,0.9
2023-01-04 21:00:00,11.3,98,0.3
2023-01-04 22:00:00,11.3,100,0.0
2023-01-04 23:00:00,11.2,100,0.0
2023-01-05 00:00:00,10.7,100,0.0
2023-01-05 01:00:00,10.7,100,0.0
2023-01-05 02:00:00,11.1,99,0.0
2023-01-05 03:00:00,12.5,99,0.0
2023-01-05 04:00:00,13.0,98,0.0
2023-01-05 05:00:00,12.4,99,0.0
2023-01-05 06:00:00,11.4,100,0.0
2023-01-05 07:00:00,10.9,99,0.0
2023-01-05 08:00:00,7.7,99,0.0
2023-01-05 09:00:00,8.2,97,0.0
2023-01-05 10:00:00,8.5,96,0.0
2023-01-05 11:00:00,9.2,92,0.0
2023-01-05 12:00:00,10.4,87,0.0
2023-01-05 13:00:00,11.1,84,0.0
2023-01-05 14:00:00,11.2,82,0.0
2023-01-05 15:00:00,10.4,83,0.0
2023-01-05 16:00:00,10.0,82,0.0
2023-01-05 17:00:00,9.6,83,0.0
2023-01-05 18:00:00,9.2,87,0.0
2023-01-05 19:00:00,8.7,92,0.0
2023-01-05 20:00:00,7.3,95,0.0
2023-01-05 21:00:00,8.1,91,0.0
2023-01-05 22:00:00,7.9,91,0.0
2023-01-05 23:00:00,7.8,89,0.0
2023-01-06 00:00:00,7.5,87,0.0
2023-01-06 01:00:00,6.9,87,0.1
2023-01-06 02:00:00,6.4,90,0.4
2023-01-06 03:00:00,6.1,95,1.3
2023-01-06 04:00:00,5.9,96,1.2
2023-01-06 05:00:00,5.8,97,1.6
2023-01-06 06:00:00,5.3,98,1.3
2023-01-06 07:00:00,4.8,97,0.0
2023-01-06 08:00:00,5.0,97,0.3
2023-01-06 09:00:00,5.7,98,0.2
2023-01-06 10:00:00,6.0,96,0.4
2023-01-06 11:00:00,6.5,91,0.1
2023-01-06 12:00:00,6.8,93,0.6
2023-01-06 13:00:00,7.6,85,0.1
2023-01-06 14:00:00,7.3,83,1.9
2023-01-06 15:00:00,7.8,77,0.1
2023-01-06 16:00:00,8.6,69,0.0
2023-01-06 17:00:00,8.0,70,0.0
2023-01-06 18:00:00,5.9,75,0.0
2023-01-06 19:00:00,5.1,77,0.0
2023-01-06 20:00:00,4.9,80,0.0
2023-01-06 21:00:00,4.9,75,0.0
2023-01-06 22:00:00,3.9,76,0.0
2023-01-06 23:00:00,3.2,78,0.0
2023-01-07 00:00:00,2.4,81,0.0
2023-01-07 01:00:00,1.8,83,0.0
2023-01-07 02:00:00,1.4,82,0.0
2023-01-07 03:00:00,1.0,81,0.0
2023-01-07 04:00:00,0.7,81,0.0
2023-01-07 05:00:00,0.5,81,0.0
2023-01-07 06:00:00,0.4,81,0.0
2023-01-07 07:00:00,0.5,79,0.0
2023-01-07 08:00:00,1.6,76,0.0
2023-01-07 09:00:00,2.8,70,0.0
2023-01-07 10:00:00,3.5,69,0.0
2023-01-07 11:00:00,4.3,67,0.0
2023-01-07 12:00:00,5.6,64,0.0
2023-01-07 13:00:00,7.0,58,0.0
2023-01-07 14:00:00,8.0,49,0.0
2023-01-07 15:00:00,8.1,45,0.0
2023-01-07 16:00:00,7.7,46,0.0
2023-01-07 17:00:00,6.9,49,0.0
2023-01-07 18:00:00,5.8,53,0.0
2023-01-07 19:00:00,4.3,60,0.0
2023-01-07 20:00:00,3.8,64,0.0
2023-01-07 21:00:00,3.3,66,0.0
2023-01-07 22:00:00,2.4,72,0.0
2023-01-07 23:00:00,2.0,74,0.0
